,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
19,1610047100,1610016200,1610015700,0,0.0,104,b'\xbc\xf8\xc8\xaf\xba\xcf\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610016200,OEXT1610015700,183.994447682
20,1610047200,1610015700,1610016200,0,0.0,104,b'\xbc\xf8\xc8\xaf\xba\xcf\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610015700,OEXT1610016200,183.987541354
21,1610011400,1610015000,1610002500,0,0.0,104,b'\xc1\xdf\xbe\xd3\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610015000,OEXT1610002500,272.336295749
22,1610011300,1610002500,1610015000,0,0.0,104,b'\xc1\xdf\xbe\xd3\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610002500,OEXT1610015000,272.11995195
23,1610045900,1610015500,1610015200,0,0.0,104,b'\xbc\xf8\xc8\xaf\xb3\xb2\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610015500,OEXT1610015200,56.6567081415
24,1610046000,1610015200,1610015500,0,0.0,104,b'\xbc\xf8\xc8\xaf\xb3\xb2\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610015200,OEXT1610015500,56.6532976228
25,1610032200,1610010700,1610010400,0,0.0,104,b'\xb9\xa4\xba\xce\xb8\xae\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610010700,OEXT1610010400,137.290342279
26,1610032100,1610010400,1610010700,0,0.0,104,b'\xb9\xa4\xba\xce\xb8\xae\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610010400,OEXT1610010700,133.403873391
27,1610033400,1610010700,1610011100,0,0.0,104,b'\xbc\xd6\xb9\xe75\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610010700,OEXT1610011100,163.404166716
28,1610033300,1610011100,1610010700,0,0.0,104,b'\xbc\xd6\xb9\xe75\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610011100,OEXT1610010700,164.826869772
29,1610035200,1610011900,1610011400,0,0.0,104,b'\xc7\xd1\xb8\xb6\xc0\xbd\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610011900,OEXT1610011400,87.8807566992
30,1610035100,1610011400,1610011900,0,0.0,104,b'\xc7\xd1\xb8\xb6\xc0\xbd\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610011400,OEXT1610011900,90.5902486427
31,1610034900,1610011300,1610011600,0,0.0,104,b'\xb8\xf0\xb2\xbf\xc1\xf6\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610011300,OEXT1610011600,51.1226781222
32,1610025400,1610007800,1610007900,0,0.0,104,b'\xc3\xe0\xc7\xd7\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610007800,OEXT1610007900,1251.00734015
33,1610025300,1610007900,1610007800,0,0.0,104,b'\xc3\xe0\xc7\xd7\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610007900,OEXT1610007800,1235.05775549
34,1610025200,1610007600,1610007800,0,0.0,104,b'\xc3\xe0\xc7\xd7\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610007600,OEXT1610007800,168.362121157
35,1610025100,1610007800,1610007600,0,0.0,104,b'\xc3\xe0\xc7\xd7\xb7\xce',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610007800,OEXT1610007600,168.360604103
36,1610023800,1610007600,1610007100,0,0.0,104,b'\xbe\xee\xbd\xc3\xc0\xe5\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610007600,OEXT1610007100,316.812125736
37,1610020400,1610006600,1610005900,0,0.0,104,b'\xbe\xee\xbd\xc3\xc0\xe5\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610006600,OEXT1610005900,367.192123508
38,1610020300,1610005900,1610006600,0,0.0,104,b'\xbe\xee\xbd\xc3\xc0\xe5\xb1\xe6',0,000,0.0,0,0.0,0.0,,icsi,5,00000,161,000,0,,,OEXT1610005900,OEXT1610006600,367.192340989
