,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',len
0,1610006700,1610003100,1680004000,0,0,101,003,130,b'\xc0\xce\xc3\xb5\xb1\xb9\xc1\xa6\xb0\xf8\xc7\xd7\xb0\xed\xbc\xd3\xb5\xb5\xb7\xce \xbf\xb5\xc1\xbe\xb4\xeb\xb1\xb3',0,000,0,5,0,0,,5,,,OEXT1610003100,OEXT1680004000,OEXT1610006700,,highway,161,00000,,0.0592810039517
1,1610006300,1610003100,1610003000,0,0,101,003,130,b'\xc0\xce\xc3\xb5\xb1\xb9\xc1\xa6\xb0\xf8\xc7\xd7\xb0\xed\xbc\xd3\xb5\xb5\xb7\xce \xbf\xb5\xc1\xbe\xb4\xeb\xb1\xb3',0,000,0,5,0,0,,5,,,OEXT1610003100,OEXT1610003000,OEXT1610006300,,highway,161,00000,,0.0556954357686
2,1610006500,1680003800,1610003100,0,0,101,003,130,b'\xc0\xce\xc3\xb5\xb1\xb9\xc1\xa6\xb0\xf8\xc7\xd7\xb0\xed\xbc\xd3\xb5\xb5\xb7\xce \xbf\xb5\xc1\xbe\xb4\xeb\xb1\xb3',0,101,0,5,0,0,,5,,,OEXT1680003800,OEXT1610003100,OEXT1610006500,,highway,161,00000,,0.0460865910966
3,1610001500,1610000800,1610000700,0,0,101,000,130,b'\xc0\xce\xc3\xb5\xb1\xb9\xc1\xa6\xb0\xf8\xc7\xd7\xb0\xed\xbc\xd3\xb5\xb5\xb7\xce',0,101,0,5,0,0,,5,,,OEXT1610000800,OEXT1610000700,OEXT1610001500,,highway,161,00000,,0.00628486757054
4,1610001200,1610000700,1610000600,0,0,104,000,0,-,0,104,0,5,0,0,,5,,,OEXT1610000700,OEXT1610000600,OEXT1610001200,,icsi,161,00000,,0.00847580717689
5,1610000900,1610000500,1610000300,0,0,104,000,0,-,0,000,0,5,0,0,,5,,,OEXT1610000500,OEXT1610000300,OEXT1610000900,,icsi,161,00000,,0.00289289491304
6,1610027100,1610008600,1630014900,0,0,104,000,0,b'\xc2\xfc\xbf\xdc\xc0\xfc\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1610008600,OEXT1630014900,OEXT1610027100,,icsi,161,00000,,0.00431598976251
7,1610027400,1610008600,1620001500,0,0,104,000,0,b'\xc2\xfc\xbf\xdc\xc0\xfc\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1610008600,OEXT1620001500,OEXT1610027400,,icsi,161,00000,,0.00313266260902
8,1610027300,1620001500,1610008600,0,0,104,000,0,b'\xc2\xfc\xbf\xdc\xc0\xfc\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1620001500,OEXT1610008600,OEXT1610027300,,icsi,161,00000,,0.00312978373986
9,1610033600,1620002700,1610010800,0,0,104,000,0,b'\xbc\xdb\xc7\xf6\xc7\xd0\xb1\xb3\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1620002700,OEXT1610010800,OEXT1610033600,,icsi,161,00000,,0.00162657308742
10,1610033500,1610010800,1620002700,0,0,104,000,0,b'\xbc\xdb\xc7\xf6\xc7\xd0\xb1\xb3\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1610010800,OEXT1620002700,OEXT1610033500,,icsi,161,00000,,0.00161936234679
11,1610026900,1610008600,1630013800,0,0,104,000,0,b'\xbb\xfb\xb0\xf1\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1610008600,OEXT1630013800,OEXT1610026900,,icsi,161,00000,,0.0040139583547
12,1610027000,1630013800,1610008600,0,0,104,000,0,b'\xbb\xfb\xb0\xf1\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1630013800,OEXT1610008600,OEXT1610027000,,icsi,161,00000,,0.00398984828085
13,1610036800,1620002900,1610012000,0,0,104,003,0,-,0,000,0,0,0,0,,5,,,OEXT1620002900,OEXT1610012000,OEXT1610036800,,icsi,161,00000,,0.000392082857905
14,1610036700,1610012000,1620002900,0,0,104,003,0,-,0,000,0,0,0,0,,5,,,OEXT1610012000,OEXT1620002900,OEXT1610036700,,icsi,161,00000,,0.000392082858397
15,1610025600,1630001200,1610008000,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1630001200,OEXT1610008000,OEXT1610025600,,icsi,161,00000,,0.00555641002259
16,1610025500,1610008000,1630001200,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610008000,OEXT1630001200,OEXT1610025500,,icsi,161,00000,,0.00554047734743
17,1610023200,1630000700,1610007000,0,0,104,000,0,b'\xb3\xab\xbc\xb6\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1630000700,OEXT1610007000,OEXT1610023200,,icsi,161,00000,,0.00472892909076
18,1610023100,1610007000,1630000700,0,0,104,000,0,b'\xb3\xab\xbc\xb6\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1610007000,OEXT1630000700,OEXT1610023100,,icsi,161,00000,,0.00474727681872
19,1610028600,1610016300,1610009100,0,0,104,000,0,b'\xb0\xf8\xc7\xd7\xba\xcf\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1610016300,OEXT1610009100,OEXT1610028600,,icsi,161,00000,,0.0603608856045
20,1610006900,1610003700,1610000100,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610003700,OEXT1610000100,OEXT1610006900,,icsi,161,00000,,0.00950709904213
21,1610018600,1610005200,1610005800,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610005200,OEXT1610005800,OEXT1610018600,,icsi,161,00000,,0.001975570465
22,1610018500,1610005800,1610005200,1,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610005800,OEXT1610005200,OEXT1610018500,,icsi,161,00000,,0.00196834275892
23,1610048000,1610016100,1610016300,0,0,104,000,0,b'\xb0\xf8\xc7\xd7\xba\xcf\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1610016100,OEXT1610016300,OEXT1610048000,,icsi,161,00000,,0.0137826217749
24,1610047900,1610016300,1610016100,0,0,104,000,0,b'\xb0\xf8\xc7\xd7\xba\xcf\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1610016300,OEXT1610016100,OEXT1610047900,,icsi,161,00000,,0.0137252474015
25,1610012400,1610003400,1610003200,0,0,104,000,0,b'\xb0\xf8\xc7\xd7\xb3\xb2\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1610003400,OEXT1610003200,OEXT1610012400,,icsi,161,00000,,0.0332773398619
26,1610012300,1610003200,1610003400,0,0,104,000,0,b'\xb0\xf8\xc7\xd7\xb3\xb2\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1610003200,OEXT1610003400,OEXT1610012300,,icsi,161,00000,,0.0333863442062
27,1610031100,1610010000,1610016000,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610010000,OEXT1610016000,OEXT1610031100,,icsi,161,00000,,0.0481942379938
28,1610031200,1610016000,1610010000,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610016000,OEXT1610010000,OEXT1610031200,,icsi,161,00000,,0.0484455601379
29,1610039300,1610013100,1610013400,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610013100,OEXT1610013400,OEXT1610039300,,icsi,161,00000,,0.00775367738322
30,1610047800,1610016100,1610016000,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610016100,OEXT1610016000,OEXT1610047800,,icsi,161,00000,,0.00150019104844
31,1610047700,1610016000,1610016100,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610016000,OEXT1610016100,OEXT1610047700,,icsi,161,00000,,0.00150567187351
32,1610039600,1610013100,1610013200,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610013100,OEXT1610013200,OEXT1610039600,,icsi,161,00000,,0.00598989099477
33,1610039500,1610013200,1610013100,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1610013200,OEXT1610013100,OEXT1610039500,,icsi,161,00000,,0.00577887825325
