,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',latitude,longitude
0,1610003100,104,영종대교 서단(상하부도로 합류),0,,seoul,5,999,,,00000,161,,32.5742878319123,124.87161670650363
1,1610003000,108,공항입구IC(본선),0,,seoul,5,999,,,00000,161,,32.574287571002984,124.87161620634677
2,1610002900,108,공항입구IC 서측(연결로),0,,icsi,5,999,,,00000,161,,32.574287565301304,124.87161611398965
3,1610002400,104,삼목지하차도,0,,icsi,5,999,,,00000,161,,32.57428742426637,124.87161587787453
4,1610002300,108,공항신도시IC 북측(본선 서울방,0,,seoul,5,999,,,00000,161,,32.57428740520891,124.87161598916413
5,1610002100,108,공항신도시IC 남측(본선 공항방,0,,seoul,5,999,,,00000,161,,32.57428734494199,124.87161594164529
6,1610000800,108,신불IC 북측(본선 서울방향),0,,seoul,5,999,,,00000,161,,32.57428715766278,124.8716159620957
7,1610000700,108,신불IC 서측(연결로),0,,icsi,5,999,,,00000,161,,32.574287131710996,124.87161593297937
8,1610000600,101,신불IC남측(본선 공항방향),0,,icsi,5,999,,,00000,161,,32.57428706477051,124.87161596722864
9,1610000500,101,인천국제공항 입구,0,,icsi,5,999,,,00000,161,,32.57428700271459,124.87161570046678
10,1610000300,101,인천국제공항IC 서측(본선),0,,icsi,5,999,,,00000,161,,32.574286987188884,124.8716157248567
11,1610000200,101,인천국제공항IC 동측(본선),0,,icsi,5,999,,,00000,161,,32.574286966875455,124.87161580258464
12,1610000100,101,인천국제공항IC 남측(연결로),0,,icsi,5,999,,,00000,161,,32.57428696270153,124.87161572742227
13,1610002200,108,공항신도시IC 서측(연결로),0,,,5,999,,,00000,161,,32.574287388647285,124.8716159212005
14,1610002800,101,없음,0,,icsi,5,999,,,00000,161,,32.574287560927004,124.87161599670382
15,1610002700,101,없음,1,,icsi,5,999,,,00000,161,,32.574287494443126,124.87161582485075
16,1610002500,101,삼목1사거리,1,,icsi,5,999,,,00000,161,,32.574287438341905,124.87161586225277
17,1610002000,101,만석고가교,0,,icsi,5,999,,,00000,161,,32.574287347687175,124.87161735823646
18,1610001900,101,없음,0,,icsi,5,999,,,00000,161,,32.57428733534141,124.87161733970937
19,1610001800,101,없음,0,,icsi,5,999,,,00000,161,,32.57428732797512,124.87161733370047
20,1610001700,101,없음,0,,icsi,5,999,,,00000,161,,32.57428731698784,124.87161733004282
21,1610001600,101,인천역사거리,1,,icsi,5,999,,,00000,161,,32.57428730121235,124.87161733072669
22,1610001500,101,없음,0,,icsi,5,999,,,00000,161,,32.57428728498937,124.87161733798709
23,1610001200,101,신포사거리,1,,icsi,5,999,,,00000,161,,32.57428725723017,124.87161739944536
24,1610001100,101,답동사거리,1,,icsi,5,999,,,00000,161,,32.574287257025006,124.87161743776758
25,1610001000,101,신흥사거리,1,,icsi,5,999,,,00000,161,,32.57428722628416,124.87161751768097
26,1610000900,101,신광사거리,1,,icsi,5,999,,,00000,161,,32.5742872071463,124.87161753004509
27,1610009100,102,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428721930203,124.87161472915538
28,1610003200,103,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428680199702,124.8716152954863
29,1610003300,103,없음,0,,icsi,5,999,,,00000,161,,32.57428680508641,124.87161527916626
30,1610006800,102,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428705754798,124.87161523457883
31,1610010000,102,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428726015681,124.87161531891948
32,1610016300,103,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428746554701,124.87161529401703
33,1610004900,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.574286997481536,124.87161555647167
34,1610005100,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428700081438,124.87161556855564
35,1610004200,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.574286977616715,124.87161555186668
36,1610004000,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428697259724,124.87161557165717
37,1610003800,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.574286969070386,124.871615601347
38,1610003900,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428697299656,124.87161560402267
39,1610004800,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.574286999525,124.87161565698234
40,1610005000,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428700125363,124.87161566563177
41,1610003400,101,없음,0,,icsi,5,999,,,00000,161,,32.574286856746276,124.87161562455725
42,1610003700,101,없음,1,,icsi,5,999,,,00000,161,,32.574286968113164,124.87161563794695
43,1610011800,103,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428729695308,124.87161561612392
44,1610012300,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.57428730512279,124.87161563239115
45,1610005600,101,없음,0,b'\xbd\xc5\xb1\xd4',icsi,5,999,,,00000,161,,32.574287015277434,124.87161565681603
