,Id,NODE_NAME,STNL_REG,latitude,longitude,Lanes
0,1920003500,사례교,192,35.59449949388031,129.34770407700793,7.0
1,1920003600,사례교,192,35.59557230564732,129.3476029833481,8.0
2,1920002100,-,192,35.564435243735254,129.32796023189064,14.0
3,1920002600,동중 삼거리,192,35.57449293095894,129.33887370136432,16.0
4,1920002400,중구청 삼거리,192,35.569200180925066,129.33157035703547,10.0
5,1920001300,북정 교차로,192,35.56163224318876,129.31947335711777,17.0
6,1920002200,동덕아파트앞,192,35.564714587342685,129.32814548274945,16.0
7,1920002000,복산 삼거리,192,35.563174274904455,129.3265806074933,14.0
8,1920000200,구삼호교북단,192,35.55509068051494,129.27595623243224,6.0
9,1920000300,다운사거리,192,35.55580402458338,129.2760740448058,19.0
10,1920001900,다운아파트단지입구,192,35.56331977518387,129.26676229532302,10.0
11,1920002700,-,192,35.57588168108101,129.2659325146805,6.0
12,1920002900,-,192,35.57991071266155,129.34204073244842,7.0
13,1920001700,-,192,35.56217786782694,129.3107255761243,15.0
14,1920000600,-,192,35.557932868111834,129.28153210798746,14.0
15,1920000500,제일중입구,192,35.557358368737454,129.2844041389905,14.0
16,1920000400,중앙고등학교앞,192,35.55659311908778,129.28651510800313,14.0
17,1920000800,-,192,35.56042690000777,129.29948363905925,12.0
18,1920014600,-,192,35.56781093028749,129.34624604497992,6.0
19,1920003800,-,192,35.55102286822715,129.34170751403823,9.0
20,1920004000,-,192,35.55123064959316,129.33929873278746,10.0
21,1920004200,가구삼거리,192,35.551500025215795,129.3359100142792,10.0
22,1920004700,-,192,35.55224208682643,129.32629067022592,13.0
23,1920005100,-,192,35.552511368751546,129.32362470136079,16.0
24,1920005600,-,192,35.55270718021317,129.32182363915572,8.0
25,1920005900,성남삼거리,192,35.55283046256459,129.32018851386556,18.0
26,1920007100,옥교사거리,192,35.55411396252133,129.32393782607141,11.0
27,1920008200,세치사거리,192,35.55531927459776,129.3302420450735,12.0
28,1920009000,학성공앞오거리,192,35.55588289946028,129.33713204559982,17.0
29,1920009500,안국한의원앞사거리,192,35.55605049351019,129.32533460783753,20.0
30,1920010000,학성삼거리,192,35.55660949397287,129.33551316997108,8.0
31,1920010200,-,192,35.55683589942897,129.32991898223688,10.0
32,1920010300,-,192,35.556948712633435,129.3343106694119,6.0
33,1920011100,-,192,35.55828530677441,129.32986817025423,6.0
34,1920011300,-,192,35.55868539966996,129.32778020114486,32.0
35,1920012900,mbc사거리,192,35.56122086919386,129.3313113580781,28.0
36,1920013600,복산사거리,192,35.56404896205576,129.33612063925543,28.0
37,1920008400,-,192,35.55536180549062,129.32174766975618,14.0
38,1920023000,-,192,35.574955494065435,129.32211948285592,6.0
39,1920024700,-,192,35.57560202490339,129.3206721389441,8.0
40,1920028300,-,192,35.577001587283185,129.31761295155385,12.0
41,1920035700,-,192,35.58081755663709,129.3250951394307,10.0
42,1920035600,-,192,35.580742525168304,129.32421270112073,10.0
43,1920033600,-,192,35.579647024633594,129.31341860743666,6.0
44,1920032900,-,192,35.57939936906872,129.31460913888884,6.0
45,1920001702,-,192,35.561635556309426,129.3039937331777,14.0
46,1920001701,-,192,35.56161946214449,129.3045075131445,15.0
47,1920012700,-,192,35.56090165003515,129.30627554528317,7.0
48,1920009900,-,192,35.55653827422525,129.30671601397668,6.0
49,1920011800,-,192,35.559535055859406,129.31064598247272,2.0
50,1920011200,-,192,35.55853868111307,129.3128782946535,11.0
51,1920024800,-,192,35.57562230625903,129.30626473365672,8.0
52,1920027200,-,192,35.57645336858491,129.30591210852577,7.0
53,1920006000,-,192,35.552984024345804,129.28360288865548,6.0
54,1920006300,-,192,35.55323474378394,129.28842354528894,12.0
55,1920006700,-,192,35.55342161818764,129.28546142029774,16.0
56,1920006900,-,192,35.553852462183265,129.28354092055045,12.0
57,1920007300,-,192,35.55451561807389,129.28075004578844,10.0
58,1920009300,-,192,35.55598246203365,129.28630613851533,12.0
59,1920009800,-,192,35.556429431533104,129.2841972945829,8.0
60,1920010100,-,192,35.55676658685292,129.2815235139983,6.0
61,1920023700,-,192,35.575238275138,129.3050676701246,8.0
62,1920005800,-,192,35.55279389967996,129.31121332600682,14.0
63,1920006200,-,192,35.553164305824474,129.31436935713728,10.0
64,1920006600,-,192,35.553377149542534,129.30886157641487,18.0
65,1920009700,-,192,35.55629915018977,129.30960779604322,9.0
66,1920010900,-,192,35.55801227461936,129.31182613833698,10.0
67,1920016300,-,192,35.572060274674584,129.31471713891494,12.0
68,1920017400,-,192,35.57299055583906,129.30988729528073,8.0
69,1920019200,-,192,35.573571399257595,129.31523035826314,12.0
70,1920034100,-,192,35.57998855611639,129.3121696695394,6.0
71,1920034800,-,192,35.58052074276293,129.31625817038514,8.0
72,1920026000,-,192,35.57604283733369,129.30761129554747,6.0
73,1920027500,-,192,35.576566274718154,129.3071588585179,6.0
74,1920007200,-,192,35.55439111855181,129.30595554572972,10.0
75,1920022800,-,192,35.574783399952395,129.30365329545592,8.0
76,1920026200,-,192,35.576055774682885,129.30304901385045,7.0
77,1920025500,-,192,35.57585277428475,129.30519107715972,4.0
78,1920024000,-,192,35.575334931714075,129.30339135775722,6.0
79,1920018100,-,192,35.57309427531785,129.30595917001227,6.0
80,1920025200,-,192,35.57575364951123,129.3048465142655,8.0
81,1920021500,-,192,35.57429377433011,129.3038101384228,6.0
82,1920022400,-,192,35.574751618450755,129.3052765141933,8.0
83,1920022900,-,192,35.574951150125216,129.30597526407465,6.0
84,1920020500,-,192,35.573938180865284,129.3045573891329,6.0
