,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',len
3763,1680009604,1680004901,1680004900,0,0,106,000,305,b'\xc1\xf6\xb9\xe6\xb5\xb5305\xc8\xa3\xbc\xb1',0,000,0,0,0,0,b'\xbc\xad\xb0\xf9\xb1\xe6',5,,,OEXT1680004901,OEXT1680004900,OEXT1680009604,,icsi,168,00000,,0.00227363294946
3764,1680000301,1680000501,1680000300,0,0,104,000,0,b'\xb9\xe9\xb9\xfc\xb7\xce',0,000,0,0,0,0,b'\xb3\xbb\xbe\xf7\xc3\xdf\xc3\xe2\xc7\xd1\xb8\xb5\xc5\xa9',5,,,OEXT1680000501,OEXT1680000300,OEXT1680000301,,icsi,168,00000,,0.00449263482227
3765,1680000402,1680000501,1680000500,0,0,104,000,0,b'\xb9\xe9\xb9\xfc\xb7\xce',0,000,0,0,0,0,b'\xb3\xbb\xbe\xf7\xc3\xdf\xc3\xe2\xc7\xd1\xb8\xb5\xc5\xa9',5,,,OEXT1680000501,OEXT1680000500,OEXT1680000402,,icsi,168,00000,,0.00266784358555
3766,1680000302,1680000500,1680000501,0,0,104,000,0,b'\xb9\xe9\xb9\xfc\xb7\xce',0,000,0,0,0,0,b'\xb3\xbb\xbe\xf7\xc3\xdf\xc3\xe2\xc7\xd1\xb8\xb5\xc5\xa9',5,,,OEXT1680000500,OEXT1680000501,OEXT1680000302,,icsi,168,00000,,0.00268982774567
3767,1680050800,1680016800,1680016600,0,0,104,000,0,b'\xb0\xe6\xb8\xed\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680016800,OEXT1680016600,OEXT1680050800,,icsi,168,00000,,0.0140810278495
3768,1680042000,1680014700,1680013300,0,0,104,000,0,b'\xc1\xdf\xba\xc0\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680014700,OEXT1680013300,OEXT1680042000,,icsi,168,00000,,0.00992238560384
3769,1680042100,1680013300,1680014700,0,0,104,000,0,b'\xc1\xdf\xba\xc0\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680013300,OEXT1680014700,OEXT1680042100,,icsi,168,00000,,0.00992105919745
3770,1680042300,1680013300,1680016700,0,0,104,000,0,b'\xbc\xad\xc7\xd8\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680013300,OEXT1680016700,OEXT1680042300,,icsi,168,00000,,0.106689146314
3771,1680042200,1680016700,1680013300,0,0,104,000,0,b'\xbc\xad\xc7\xd8\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680016700,OEXT1680013300,OEXT1680042200,,icsi,168,00000,,0.10682551405
3772,1680029900,1680008900,1680008800,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680008900,OEXT1680008800,OEXT1680029900,,icsi,168,00000,,0.00712609244965
3773,1680029800,1680008800,1680008900,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680008800,OEXT1680008900,OEXT1680029800,,icsi,168,00000,,0.00712609169774
3774,1680029100,1680008500,1680009700,0,0,104,000,0,b'\xc1\xdf\xba\xc0\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680008500,OEXT1680009700,OEXT1680029100,,icsi,168,00000,,0.00260528994376
