,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O,longitude,latitude
215336,울산광역시,31,동구,31170,128.5,133.25,21.75,30.75,19.75,19.25,30.0,11.75,129.4225919333686,35.53687631785269
215338,울산광역시,31,동구,31170,71.18,148.93,32.0,21.86,21.32,22.91,25.05,25.79,129.42820090310485,35.5422182583352
215339,울산광역시,31,중구,31110,114.7,229.22,39.89,33.11,29.3,36.44,43.66,46.82,129.3170362430418,35.55610616905344
215340,울산광역시,31,중구,31110,146.95,171.82,48.63,19.25,39.92,26.45,18.07,19.5,129.2674622227385,35.560244400936114
215341,울산광역시,31,중구,31110,52.93,169.15,28.41,29.51,24.29,27.67,35.54,23.73,129.31706579849072,35.557908661302086
215342,울산광역시,31,중구,31110,22.04,40.14,11.38,5.51,10.33,6.02,4.05,2.85,129.3162583308498,35.57594563203281
215343,울산광역시,31,동구,31170,167.12,498.4,197.85,37.82,134.22,109.24,18.12,1.15,129.41749863708657,35.49817617498345
215344,울산광역시,31,중구,31110,32.7,108.04,19.6,14.62,12.45,21.32,21.34,18.71,129.30922783240305,35.550782952232495
215345,울산광역시,31,중구,31110,78.98,241.06,56.05,39.26,34.02,48.9,33.62,29.21,129.34821961753212,35.57378877888424
215346,울산광역시,31,중구,31110,26.95,37.31,11.55,3.85,7.98,7.84,3.22,2.87,129.26633082678842,35.55845349120029
215347,울산광역시,31,중구,31110,34.17,115.82,34.01,12.17,19.59,26.16,11.12,12.77,129.26421005538106,35.563884281377725
215348,울산광역시,31,동구,31170,49.34,126.5,28.05,20.35,24.55,18.04,20.44,15.07,129.42053452601752,35.48281651446568
215349,울산광역시,31,동구,31170,201.0,742.92,121.01,160.66,91.36,114.06,163.62,92.21,129.42871109941015,35.50886045481381
215350,울산광역시,31,중구,31110,66.36,96.48,20.88,15.18,17.1,17.94,14.76,10.62,129.27837715869424,35.55291758627084
215351,울산광역시,31,동구,31170,25.5,32.1,5.04,5.58,5.46,4.08,6.9,5.04,129.42738515587607,35.49625655759714
215352,울산광역시,31,중구,31110,57.47,201.34,48.6,32.37,28.37,37.61,32.32,22.07,129.34912586874566,35.5620603834659
215353,울산광역시,31,동구,31170,60.02,210.19,33.98,46.55,28.03,32.26,43.59,25.78,129.42736917928605,35.4953553441188
215354,울산광역시,31,중구,31110,56.45,157.0,31.31,30.21,23.04,26.33,27.85,18.26,129.34010667897937,35.55044293487613
215355,울산광역시,31,중구,31110,18.6,26.65,6.25,3.65,4.8,5.25,4.25,2.45,129.3446838374262,35.56030731448606
215356,울산광역시,31,동구,31170,190.0,631.0,233.38,87.92,154.71,133.03,13.08,8.88,129.43233855007466,35.52684533026869
215357,울산광역시,31,동구,31170,124.0,449.39,83.91,75.34,139.66,70.92,69.46,10.1,129.4278487856301,35.52239168724095
215366,울산광역시,31,중구,31110,73.81,175.02,37.11,24.7,24.48,33.71,24.03,30.99,129.34702576467976,35.56839374175771
215370,울산광역시,31,중구,31110,36.27,75.46,17.01,13.57,12.25,13.98,10.3,8.35,129.34119444115547,35.549529406892226
215371,울산광역시,31,중구,31110,2.94,9.9,2.32,1.06,2.2,1.52,0.98,1.82,129.2942093962121,35.57708634477947
215375,울산광역시,31,중구,31110,4.41,14.88,4.2,2.07,2.49,3.0,1.86,1.26,129.3489139804955,35.54944309976108
