,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O,latitude,longitude
408102,울산광역시,31,울주군,31710,23.84474,0.0,2.72541,7.94825,9.84003,2.11976,0.90847,0.30282,0.0,35.42205801604724,129.20581999580526
408103,울산광역시,31,울주군,31710,24.35541,0.0,2.68574,7.59256,10.01735,3.85714,0.20262,0.0,0.0,35.415877636931874,129.28060840479398
408108,울산광역시,31,울주군,31710,1.7518,0.0,1.7518,0.0,0.0,0.0,0.0,0.0,0.0,35.408478922257174,129.29810835521008
408118,울산광역시,31,울주군,31710,1.69776,0.0,0.0,1.69776,0.0,0.0,0.0,0.0,0.0,35.52855578337832,129.09824425594033
408123,울산광역시,31,북구,31200,8.7798,0.0,8.39807,0.38173,0.0,0.0,0.0,0.0,0.0,35.582798590088856,129.4267157975165
408272,울산광역시,31,중구,31110,43.13741,0.0,7.67253,12.27604,18.07382,4.60352,0.5115,0.0,0.0,35.57860098068414,129.32071548155741
408331,울산광역시,31,울주군,31710,81.08628,0.0,17.87223,33.93437,19.92394,7.46751,1.88823,0.0,0.0,35.50151602163949,129.0978750389143
408332,울산광역시,31,울주군,31710,2.09146,0.0,0.53588,0.81128,0.46147,0.21584,0.06699,0.0,0.0,35.492350799231794,129.1142837256343
408392,울산광역시,31,울주군,31710,14.72911,0.12921,4.78049,3.61766,3.87608,1.42124,0.90443,0.0,0.0,35.434981095554804,129.17517240051998
408395,울산광역시,31,울주군,31710,21.64814,0.18989,7.02617,5.3171,5.69687,2.08884,1.32927,0.0,0.0,35.43592531357393,129.1707802773257
408496,울산광역시,31,남구,31140,7.10989,0.0006,0.87048,2.31682,2.77893,0.94626,0.18091,0.01589,0.0,35.49624525780079,129.35022659148476
408497,울산광역시,31,남구,31140,2.79294,0.00023,0.34193,0.91009,1.09162,0.37171,0.0711,0.00626,0.0,35.49683432353674,129.3777933259292
408500,울산광역시,31,남구,31140,9.80949,0.00085,1.20098,3.19645,3.83404,1.30558,0.24965,0.02194,0.0,35.49976344429553,129.35800181194546
408501,울산광역시,31,남구,31140,24.99663,0.32147,6.26734,8.15589,6.83528,3.15964,0.23625,0.02076,0.0,35.502774872575124,129.33049365968762
408502,울산광역시,31,남구,31140,14.88516,0.00111,1.90751,4.22344,6.0279,2.36637,0.32985,0.02898,0.0,35.49536871561264,129.34800737808408
408503,울산광역시,31,남구,31140,9.94541,0.00086,1.21762,3.24074,3.88717,1.32367,0.25311,0.02224,0.0,35.505294730294445,129.34707122218492
408504,울산광역시,31,남구,31140,15.51921,0.00134,1.90006,5.057,6.06569,2.06551,0.39494,0.03467,0.0,35.46457769914524,129.3607142434815
408505,울산광역시,31,남구,31140,0.32067,0.0,0.32067,0.0,0.0,0.0,0.0,0.0,0.0,35.47536769024784,129.36310040819075
408511,울산광역시,31,남구,31140,6.70649,0.00058,0.82108,2.18532,2.62125,0.89258,0.17068,0.015,0.0,35.461022424317825,129.35624708595768
408514,울산광역시,31,남구,31140,8.89335,0.00016,1.82845,2.84381,2.64264,1.52739,0.04679,0.00411,0.0,35.46463980902081,129.3552061152946
408515,울산광역시,31,남구,31140,15.18835,0.0012,2.34383,4.5312,5.75573,1.85075,0.67456,0.03108,0.0,35.47810878836484,129.35984072923597
408517,울산광역시,31,남구,31140,0.32067,0.0,0.32067,0.0,0.0,0.0,0.0,0.0,0.0,35.48424224847967,129.37537369567227
408751,울산광역시,31,울주군,31710,13.6397,0.0,1.94854,2.92279,3.89704,1.94854,2.92279,0.0,0.0,35.34273271050877,129.29265259245747
408944,울산광역시,31,울주군,31710,6.2868,0.0,0.0,6.2868,0.0,0.0,0.0,0.0,0.0,35.53655630540236,129.11048497793627
408951,울산광역시,31,북구,31200,5.08011,0.0,3.38674,1.69337,0.0,0.0,0.0,0.0,0.0,35.574402918622994,129.37360668513602
408959,울산광역시,31,북구,31200,4.45754,0.04741,1.84943,1.09067,0.80617,0.56904,0.09482,0.0,0.0,35.636738746850845,129.43871778902917
409027,울산광역시,31,울주군,31710,1.81938,0.0,0.47169,0.35377,0.60646,0.33692,0.05054,0.0,0.0,35.34270910881138,129.2948525869931
409028,울산광역시,31,울주군,31710,1.00942,0.0,0.0,1.00942,0.0,0.0,0.0,0.0,0.0,35.33792842589326,129.32007886889568
409040,울산광역시,31,울주군,31710,4.38881,0.0,4.38881,0.0,0.0,0.0,0.0,0.0,0.0,35.59209561462497,129.14767275375348
409070,울산광역시,31,북구,31200,1.32271,0.0,0.0,0.0,0.0,1.32271,0.0,0.0,0.0,35.56615275959936,129.38560097893557
409094,울산광역시,31,울주군,31710,55.76025,0.0,12.04127,19.82172,16.85774,6.11326,0.92626,0.0,0.0,35.43332791857208,129.1597282273712
409095,울산광역시,31,울주군,31710,48.95897,0.0,10.57251,17.40403,14.80156,5.36762,0.81325,0.0,0.0,35.43768503433158,129.1752117941151
409096,울산광역시,31,울주군,31710,1.62259,0.0,0.0,0.0,0.0,1.62259,0.0,0.0,0.0,35.46119416586586,129.16784181875823
409130,울산광역시,31,북구,31200,24.1769,0.0,4.93646,9.09551,7.85165,1.90458,0.31096,0.07774,0.0,35.59367760021062,129.3430357897357
409160,울산광역시,31,울주군,31710,3.26256,0.0,0.28371,1.51308,1.08753,0.28368,0.09456,0.0,0.0,35.56974060243494,129.12859684833043
409162,울산광역시,31,울주군,31710,1.70085,0.0,0.39388,0.60869,0.34018,0.26857,0.08953,0.0,0.0,35.49832095739876,129.2411332600077
409208,울산광역시,31,남구,31140,32.63271,0.01785,5.20171,10.66532,9.83206,5.75524,1.07126,0.08927,0.0,35.516060194564055,129.35166161962957
