,,,,,일자,20180422,20180422,20180423,20180423,20180424,20180424,20180425,20180425,20180426,20180426,20180427,20180427,20180428,20180428,계,계
가로명,방면,요일,순번(LV2),시작지점,종료지점,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
강북로,상행,일요일,1,태화교사거리,번영교북교차로,0,947,-,-,-,-,-,-,-,-,-,-,-,-,0,947
강북로,상행,일요일,2,번영교북교차로,가구삼거리,0,342,-,-,-,-,-,-,-,-,-,-,-,-,0,342
강북로,상행,일요일,3,가구삼거리,학성교북교차로,"23,850",0,-,-,-,-,-,-,-,-,-,-,-,-,"23,850",0
강북로,상행,일요일,4,학성교북교차로,내황삼거리,"26,634",0,-,-,-,-,-,-,-,-,-,-,-,-,"26,634",0
강북로,상행,일요일,5,내황삼거리,명촌교북단사거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
강북로,상행,월요일,1,태화교사거리,번영교북교차로,-,-,0,"1,048",-,-,-,-,-,-,-,-,-,-,0,"1,048"
강북로,상행,월요일,2,번영교북교차로,가구삼거리,-,-,0,369,-,-,-,-,-,-,-,-,-,-,0,369
강북로,상행,월요일,3,가구삼거리,학성교북교차로,-,-,"26,546",0,-,-,-,-,-,-,-,-,-,-,"26,546",0
강북로,상행,월요일,4,학성교북교차로,내황삼거리,-,-,"29,722",0,-,-,-,-,-,-,-,-,-,-,"29,722",0
강북로,상행,월요일,5,내황삼거리,명촌교북단사거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
강북로,상행,화요일,1,태화교사거리,번영교북교차로,-,-,-,-,0,"1,085",-,-,-,-,-,-,-,-,0,"1,085"
강북로,상행,화요일,2,번영교북교차로,가구삼거리,-,-,-,-,0,358,-,-,-,-,-,-,-,-,0,358
강북로,상행,화요일,3,가구삼거리,학성교북교차로,-,-,-,-,"27,399",0,-,-,-,-,-,-,-,-,"27,399",0
강북로,상행,화요일,4,학성교북교차로,내황삼거리,-,-,-,-,"31,023",0,-,-,-,-,-,-,-,-,"31,023",0
강북로,상행,화요일,5,내황삼거리,명촌교북단사거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
강북로,상행,수요일,1,태화교사거리,번영교북교차로,-,-,-,-,-,-,0,"1,119",-,-,-,-,-,-,0,"1,119"
강북로,상행,수요일,2,번영교북교차로,가구삼거리,-,-,-,-,-,-,0,367,-,-,-,-,-,-,0,367
강북로,상행,수요일,3,가구삼거리,학성교북교차로,-,-,-,-,-,-,"28,639",0,-,-,-,-,-,-,"28,639",0
강북로,상행,수요일,4,학성교북교차로,내황삼거리,-,-,-,-,-,-,"32,612",0,-,-,-,-,-,-,"32,612",0
강북로,상행,수요일,5,내황삼거리,명촌교북단사거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
강북로,상행,목요일,1,태화교사거리,번영교북교차로,-,-,-,-,-,-,-,-,0,"1,141",-,-,-,-,0,"1,141"
강북로,상행,목요일,2,번영교북교차로,가구삼거리,-,-,-,-,-,-,-,-,0,370,-,-,-,-,0,370
강북로,상행,목요일,3,가구삼거리,학성교북교차로,-,-,-,-,-,-,-,-,"27,912",0,-,-,-,-,"27,912",0
강북로,상행,목요일,4,학성교북교차로,내황삼거리,-,-,-,-,-,-,-,-,"31,239",0,-,-,-,-,"31,239",0
강북로,상행,목요일,5,내황삼거리,명촌교북단사거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
강북로,상행,금요일,1,태화교사거리,번영교북교차로,-,-,-,-,-,-,-,-,-,-,0,"1,084",-,-,0,"1,084"
강북로,상행,금요일,2,번영교북교차로,가구삼거리,-,-,-,-,-,-,-,-,-,-,0,353,-,-,0,353
강북로,상행,금요일,3,가구삼거리,학성교북교차로,-,-,-,-,-,-,-,-,-,-,"27,713",0,-,-,"27,713",0
강북로,상행,금요일,4,학성교북교차로,내황삼거리,-,-,-,-,-,-,-,-,-,-,"26,189",0,-,-,"26,189",0
강북로,상행,금요일,5,내황삼거리,명촌교북단사거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
강북로,상행,토요일,1,태화교사거리,번영교북교차로,-,-,-,-,-,-,-,-,-,-,-,-,0,973,0,973
강북로,상행,토요일,2,번영교북교차로,가구삼거리,-,-,-,-,-,-,-,-,-,-,-,-,0,357,0,357
강북로,상행,토요일,3,가구삼거리,학성교북교차로,-,-,-,-,-,-,-,-,-,-,-,-,"27,439",0,"27,439",0
강북로,상행,토요일,4,학성교북교차로,내황삼거리,-,-,-,-,-,-,-,-,-,-,-,-,"30,851",0,"30,851",0
강북로,상행,토요일,5,내황삼거리,명촌교북단사거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
강북로,하행,일요일,1,명촌교북단사거리,내황삼거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
강북로,하행,일요일,2,내황삼거리,학성교북교차로,"21,982",0,-,-,-,-,-,-,-,-,-,-,-,-,"21,982",0
강북로,하행,일요일,3,학성교북교차로,가구삼거리,"14,235",0,-,-,-,-,-,-,-,-,-,-,-,-,"14,235",0
강북로,하행,일요일,4,가구삼거리,번영교북교차로,0,791,-,-,-,-,-,-,-,-,-,-,-,-,0,791
강북로,하행,일요일,5,번영교북교차로,태화교사거리,0,665,-,-,-,-,-,-,-,-,-,-,-,-,0,665
강북로,하행,월요일,1,명촌교북단사거리,내황삼거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
강북로,하행,월요일,2,내황삼거리,학성교북교차로,-,-,"17,076",0,-,-,-,-,-,-,-,-,-,-,"17,076",0
강북로,하행,월요일,3,학성교북교차로,가구삼거리,-,-,"14,276",0,-,-,-,-,-,-,-,-,-,-,"14,276",0
강북로,하행,월요일,4,가구삼거리,번영교북교차로,-,-,0,909,-,-,-,-,-,-,-,-,-,-,0,909
강북로,하행,월요일,5,번영교북교차로,태화교사거리,-,-,0,791,-,-,-,-,-,-,-,-,-,-,0,791
강북로,하행,화요일,1,명촌교북단사거리,내황삼거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
강북로,하행,화요일,2,내황삼거리,학성교북교차로,-,-,-,-,"18,322",0,-,-,-,-,-,-,-,-,"18,322",0
강북로,하행,화요일,3,학성교북교차로,가구삼거리,-,-,-,-,"14,498",0,-,-,-,-,-,-,-,-,"14,498",0
강북로,하행,화요일,4,가구삼거리,번영교북교차로,-,-,-,-,0,899,-,-,-,-,-,-,-,-,0,899
강북로,하행,화요일,5,번영교북교차로,태화교사거리,-,-,-,-,0,754,-,-,-,-,-,-,-,-,0,754
강북로,하행,수요일,1,명촌교북단사거리,내황삼거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
강북로,하행,수요일,2,내황삼거리,학성교북교차로,-,-,-,-,-,-,"19,322",0,-,-,-,-,-,-,"19,322",0
강북로,하행,수요일,3,학성교북교차로,가구삼거리,-,-,-,-,-,-,"15,006",0,-,-,-,-,-,-,"15,006",0
강북로,하행,수요일,4,가구삼거리,번영교북교차로,-,-,-,-,-,-,0,920,-,-,-,-,-,-,0,920
강북로,하행,수요일,5,번영교북교차로,태화교사거리,-,-,-,-,-,-,0,766,-,-,-,-,-,-,0,766
강북로,하행,목요일,1,명촌교북단사거리,내황삼거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
강북로,하행,목요일,2,내황삼거리,학성교북교차로,-,-,-,-,-,-,-,-,"18,272",0,-,-,-,-,"18,272",0
