,Id,NODE_TYPE,NODE_NAME,STNL_REG,latitude,longitude,Car,Bus
0,1920003500,104,사례교,192,35.59449949388031,129.34770407700793,0,0
1,1920003600,104,사례교,192,35.59557230564732,129.3476029833481,0,0
2,1920002100,101,-,192,35.564435243735254,129.32796023189064,0,0
3,1920002600,101,동중 삼거리,192,35.57449293095894,129.33887370136432,175813,4669
4,1920002400,101,중구청 삼거리,192,35.569200180925066,129.33157035703547,0,14185
5,1920001300,101,북정 교차로,192,35.56163224318876,129.31947335711777,0,9856
6,1920002200,101,동덕아파트앞,192,35.564714587342685,129.32814548274945,0,2102
7,1920002000,101,복산 삼거리,192,35.563174274904455,129.3265806074933,0,314
8,1920000200,101,구삼호교북단,192,35.55509068051494,129.27595623243224,0,0
9,1920000300,101,다운사거리,192,35.55580402458338,129.2760740448058,0,17601
10,1920001900,101,다운아파트단지입구,192,35.56331977518387,129.26676229532302,0,0
11,1920002700,103,-,192,35.57588168108101,129.2659325146805,0,0
12,1920002900,101,-,192,35.57991071266155,129.34204073244842,0,0
13,1920001700,101,-,192,35.56217786782694,129.3107255761243,0,0
14,1920000600,101,-,192,35.557932868111834,129.28153210798746,0,0
15,1920000500,101,제일중입구,192,35.557358368737454,129.2844041389905,0,0
16,1920000400,101,중앙고등학교앞,192,35.55659311908778,129.28651510800313,0,3838
17,1920000800,103,-,192,35.56042690000777,129.29948363905925,0,0
18,1920014600,103,-,192,35.56781093028749,129.34624604497992,0,0
19,1920003800,104,-,192,35.55102286822715,129.34170751403823,0,0
20,1920004000,104,-,192,35.55123064959316,129.33929873278746,0,0
21,1920004200,101,가구삼거리,192,35.551500025215795,129.3359100142792,294042,8648
22,1920004700,101,-,192,35.55224208682643,129.32629067022592,0,0
23,1920005100,101,-,192,35.552511368751546,129.32362470136079,0,0
24,1920005600,101,-,192,35.55270718021317,129.32182363915572,0,0
25,1920005900,101,성남삼거리,192,35.55283046256459,129.32018851386556,0,0
26,1920007100,101,옥교사거리,192,35.55411396252133,129.32393782607141,0,6184
27,1920008200,101,세치사거리,192,35.55531927459776,129.3302420450735,0,0
28,1920009000,101,학성공앞오거리,192,35.55588289946028,129.33713204559982,0,0
29,1920009500,101,안국한의원앞사거리,192,35.55605049351019,129.32533460783753,0,4023
30,1920010000,101,학성삼거리,192,35.55660949397287,129.33551316997108,0,0
31,1920010200,101,-,192,35.55683589942897,129.32991898223688,0,0
32,1920010300,101,-,192,35.556948712633435,129.3343106694119,0,0
33,1920011100,101,-,192,35.55828530677441,129.32986817025423,0,0
34,1920011300,101,-,192,35.55868539966996,129.32778020114486,0,0
35,1920012900,101,mbc사거리,192,35.56122086919386,129.3313113580781,0,3967
36,1920013600,101,복산사거리,192,35.56404896205576,129.33612063925543,0,17658
37,1920008400,101,-,192,35.55536180549062,129.32174766975618,0,0
38,1920023000,101,-,192,35.574955494065435,129.32211948285592,0,0
39,1920024700,101,-,192,35.57560202490339,129.3206721389441,0,0
40,1920028300,101,-,192,35.577001587283185,129.31761295155385,0,0
41,1920035700,101,-,192,35.58081755663709,129.3250951394307,0,0
42,1920035600,101,-,192,35.580742525168304,129.32421270112073,0,0
43,1920033600,101,-,192,35.579647024633594,129.31341860743666,0,0
44,1920032900,101,-,192,35.57939936906872,129.31460913888884,0,0
45,1920001702,101,-,192,35.561635556309426,129.3039937331777,0,0
46,1920001701,101,-,192,35.56161946214449,129.3045075131445,0,0
47,1920012700,101,-,192,35.56090165003515,129.30627554528317,0,0
48,1920009900,101,-,192,35.55653827422525,129.30671601397668,0,0
49,1920011800,102,-,192,35.559535055859406,129.31064598247272,0,0
50,1920011200,101,-,192,35.55853868111307,129.3128782946535,0,0
51,1920024800,101,-,192,35.57562230625903,129.30626473365672,0,0
52,1920027200,101,-,192,35.57645336858491,129.30591210852577,0,0
53,1920006000,101,-,192,35.552984024345804,129.28360288865548,0,0
54,1920006300,101,-,192,35.55323474378394,129.28842354528894,0,0
55,1920006700,101,-,192,35.55342161818764,129.28546142029774,0,0
56,1920006900,101,-,192,35.553852462183265,129.28354092055045,0,0
57,1920007300,101,-,192,35.55451561807389,129.28075004578844,0,0
58,1920009300,101,-,192,35.55598246203365,129.28630613851533,0,0
59,1920009800,101,-,192,35.556429431533104,129.2841972945829,0,0
60,1920010100,101,-,192,35.55676658685292,129.2815235139983,0,0
61,1920023700,101,-,192,35.575238275138,129.3050676701246,0,0
62,1920005800,101,-,192,35.55279389967996,129.31121332600682,0,0
63,1920006200,101,-,192,35.553164305824474,129.31436935713728,0,0
64,1920006600,101,-,192,35.553377149542534,129.30886157641487,0,0
65,1920009700,101,-,192,35.55629915018977,129.30960779604322,0,0
66,1920010900,101,-,192,35.55801227461936,129.31182613833698,0,0
67,1920016300,101,-,192,35.572060274674584,129.31471713891494,0,0
68,1920017400,101,-,192,35.57299055583906,129.30988729528073,0,0
69,1920019200,101,-,192,35.573571399257595,129.31523035826314,0,0
70,1920034100,101,-,192,35.57998855611639,129.3121696695394,0,0
71,1920034800,101,-,192,35.58052074276293,129.31625817038514,0,0
72,1920026000,101,-,192,35.57604283733369,129.30761129554747,0,0
73,1920027500,101,-,192,35.576566274718154,129.3071588585179,0,0
74,1920007200,101,-,192,35.55439111855181,129.30595554572972,0,0
75,1920022800,101,-,192,35.574783399952395,129.30365329545592,0,0
76,1920026200,101,-,192,35.576055774682885,129.30304901385045,0,0
77,1920025500,102,-,192,35.57585277428475,129.30519107715972,0,0
78,1920024000,101,-,192,35.575334931714075,129.30339135775722,0,0
